metric,before_rerank,after_rerank
hit_rate@1,0.764344262295082,0.6905737704918032
hit_rate@10,0.9036885245901639,0.8094262295081968
hit_rate@20,0.9036885245901639,0.8094262295081968
hit_rate@3,0.8319672131147541,0.7725409836065574
hit_rate@5,0.8647540983606558,0.8094262295081968
mrr,0.8060499609679938,0.7346311475409836
precision@1,0.764344262295082,0.6905737704918032
precision@10,0.1407786885245902,0.11598360655737706
precision@20,0.0703893442622951,0.05799180327868853
precision@3,0.3975409836065573,0.3531420765027322
precision@5,0.2573770491803279,0.23196721311475413
recall@1,0.4772882513661202,0.4175204918032787
recall@10,0.8075478142076503,0.6581284153005463
recall@20,0.8075478142076503,0.6581284153005463
recall@3,0.6801571038251365,0.6014344262295082
recall@5,0.7341188524590164,0.6581284153005463
